station_complex_grouped,ridership,year,num_services,annual_ridership
Elder Av,43955.0,5,1,8791.0
Elmhurst Av,92801.0,5,2,18560.2
Euclid Av,80539.0,5,2,16107.8
Far Rockaway-Mott Av,34249.0,5,1,6849.8
Flatbush Av-Brooklyn College,126573.0,5,2,25314.6
Flushing Av,80835.0,5,1,16167.0
Flushing-Main St,446613.0,5,1,89322.6
Fordham Rd,152454.0,5,1,30490.8
Forest Av,34191.0,5,1,6838.2
Forest Hills-71 Av,191061.0,5,4,38212.2
Fort Hamilton Pkwy,129644.0,5,2,25928.8
Franklin Av,141525.0,5,2,28305.0
Franklin St,38602.0,5,1,7720.4
Freeman St,30099.0,5,2,6019.8
Fresh Pond Rd,47973.0,5,1,9594.6
Fulton St,581622.0,5,1,116324.4
Gates Av,45801.0,5,2,9160.2
Graham Av,70579.0,5,1,14115.8
Grand Army Plaza,57122.0,5,2,11424.4
Grand Av-Newtown,131602.0,5,2,26320.4
Grand Central-42 St,893917.0,5,5,178783.4
Grand St,254377.0,5,1,50875.4
Grant Av,42576.0,5,1,8515.2
Greenpoint Av,80763.0,5,1,16152.6
Gun Hill Rd,75811.0,5,1,15162.2
Halsey St,101478.0,5,1,20295.6
Harlem-148 St,25294.0,5,1,5058.8
Hewes St,21848.0,5,2,4369.6
High St,80629.0,5,2,16125.8
Houston St,78626.0,5,1,15725.2
Howard Beach-JFK Airport,24271.0,5,1,4854.2
Hoyt St,59360.0,5,2,11872.0
Hoyt-Schermerhorn Sts,96808.0,5,3,19361.6
Hunters Point Av,37352.0,5,1,7470.4
Hunts Point Av,71765.0,5,1,14353.0
Intervale Av,20968.0,5,2,4193.6
Inwood-207 St,68964.0,5,1,13792.8
Jackson Av,33813.0,5,2,6762.6
Jamaica Center-Parsons/Archer,209182.0,5,3,41836.4
Jamaica-179 St,133731.0,5,1,26746.2
Jamaica-Van Wyck,35720.0,5,1,7144.0
Jay St-MetroTech,245306.0,5,4,49061.2
Jefferson St,70030.0,5,1,14006.0
Junction Blvd,202352.0,5,1,40470.4
Junius St,17437.0,5,1,3487.4
Kew Gardens-Union Tpke,171707.0,5,2,34341.4
Kings Hwy,205017.0,5,2,41003.4
Kingsbridge Rd,113010.0,5,1,22602.0
Kingston Av,33818.0,5,1,6763.6
Kingston-Throop Avs,48670.0,5,1,9734.0
Knickerbocker Av,31744.0,5,1,6348.8
Kosciuszko St,38030.0,5,1,7606.0
Lafayette Av,44835.0,5,1,8967.0
Lexington Av,392672.0,5,5,78534.4
Lexington Av-53 St,354411.0,5,2,70882.2
Lexington Av/63 St,127179.0,5,2,25435.8
Liberty Av,18479.0,5,1,3695.8
Livonia Av,19453.0,5,1,3890.6
Longwood Av,23185.0,5,1,4637.0
Lorimer St,168980.0,5,1,33796.0
Marble Hill-225 St,36732.0,5,1,7346.4
Marcy Av,102213.0,5,3,20442.6
Mets-Willets Point,61825.0,5,1,12365.0
Middle Village-Metropolitan Av,30715.0,5,1,6143.0
Middletown Rd,14373.0,5,1,2874.6
Montrose Av,58997.0,5,1,11799.4
Morgan Av,63075.0,5,1,12615.0
Morris Park,17583.0,5,1,3516.6
Morrison Av-Soundview,43816.0,5,1,8763.2
Mosholu Pkwy,61086.0,5,1,12217.2
Mt Eden Av,36728.0,5,1,7345.6
Myrtle Av,83496.0,5,3,16699.2
Myrtle-Willoughby Avs,41630.0,5,1,8326.0
Myrtle-Wyckoff Avs,159975.0,5,2,31995.0
Nassau Av,77216.0,5,1,15443.2
Neck Rd,34215.0,5,1,6843.0
Neptune Av,9858.0,5,1,1971.6
Nereid Av,19994.0,5,2,3998.8
Nevins St,69212.0,5,4,13842.4
New Lots Av,62527.0,5,1,12505.4
New Utrecht Av,41905.0,5,1,8381.0
Newkirk Av-Little Haiti,48429.0,5,2,9685.8
Newkirk Plaza,77607.0,5,2,15521.4
Northern Blvd,50097.0,5,2,10019.4
Norwood Av,17673.0,5,2,3534.6
Norwood-205 St,57923.0,5,1,11584.6
Nostrand Av,170678.0,5,1,34135.6
Ocean Pkwy,25369.0,5,1,5073.8
Ozone Park-Lefferts Blvd,49909.0,5,1,9981.8
Park Pl,12222.0,5,1,2444.4
Parkchester,109340.0,5,1,21868.0
Parkside Av,45982.0,5,1,9196.4
Parsons Blvd,51657.0,5,1,10331.4
Pelham Bay Park,45323.0,5,1,9064.6
Pelham Pkwy,76124.0,5,1,15224.8
Pennsylvania Av,27446.0,5,1,5489.2
President St-Medgar Evers College,23321.0,5,2,4664.2
Prince St,115164.0,5,2,23032.8
Prospect Av,85922.0,5,2,17184.4
Prospect Park,74292.0,5,3,14858.4
Queens Plaza,109130.0,5,3,21826.0
Queensboro Plaza,112999.0,5,3,22599.8
RI Tramway,87568.0,5,1,17513.6
Ralph Av,42234.0,5,1,8446.8
Rector St,89658.0,5,2,17931.6
Rockaway Av,72108.0,5,1,14421.6
Rockaway Blvd,57711.0,5,1,11542.2
Rockaway Park-Beach 116 St,7298.0,5,2,1459.6
Roosevelt Island,60844.0,5,1,12168.8
Saratoga Av,33475.0,5,1,6695.0
Seneca Av,21665.0,5,1,4333.0
Sheepshead Bay,96633.0,5,2,19326.6
Shepherd Av,20862.0,5,1,4172.4
Simpson St,51618.0,5,2,10323.6
Smith-9 Sts,33090.0,5,2,6618.0
South Ferry,191253.0,5,2,38250.6
Spring St,205632.0,5,1,41126.4
St George,60796.0,5,1,12159.2
St Lawrence Av,29266.0,5,1,5853.2
Steinway St,100413.0,5,2,20082.6
Sterling St,38924.0,5,2,7784.8
Sutphin Blvd,32517.0,5,1,6503.4
Sutphin Blvd-Archer Av-JFK Airport,183173.0,5,3,36634.6
Sutter Av,19348.0,5,1,3869.6
Sutter Av-Rutland Rd,46598.0,5,1,9319.6
Times Sq-42 St,1377458.0,5,11,275491.6
Tompkinsville,4977.0,5,1,995.4
Tremont Av,54110.0,5,2,10822.0
Union St,53632.0,5,1,10726.4
Utica Av,106744.0,5,2,21348.8
Van Cortlandt Park-242 St,51414.0,5,1,10282.8
Van Siclen Av,54958.0,5,2,10991.6
Vernon Blvd-Jackson Av,115594.0,5,1,23118.8
W 4 St-Wash Sq,344061.0,5,7,68812.2
W 8 St-NY Aquarium,21345.0,5,2,4269.0
WTC Cortlandt,91851.0,5,1,18370.2
Wakefield-241 St,32769.0,5,1,6553.8
Wall St,221055.0,5,2,44211.0
West Farms Sq-E Tremont Av,39512.0,5,2,7902.4
Westchester Sq-E Tremont Av,33283.0,5,1,6656.6
Whitlock Av,13054.0,5,1,2610.8
Wilson Av,35845.0,5,1,7169.0
Winthrop St,49110.0,5,2,9822.0
Woodhaven Blvd,167527.0,5,2,33505.4
Woodlawn,47998.0,5,1,9599.6
York St,99749.0,5,1,19949.8
Zerega Av,16062.0,5,1,3212.4
